Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-05-15-026-XXVI-NRSITZ-00075	ParlaMint-AT_2019-05-15-026-XXVI-NRSITZ-00075_d7e447	Sitting Number 75, Legislative period XXVI, Wednesday, 15. May 2019	2019-05-15	Lower house	Legislative period XXVI	-	-	Sitting 75	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-05-15-026-XXVI-NRSITZ-00075	ParlaMint-AT_2019-05-15-026-XXVI-NRSITZ-00075_d7e480	Sitting Number 75, Legislative period XXVI, Wednesday, 15. May 2019	2019-05-15	Lower house	Legislative period XXVI	-	-	Sitting 75	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-05-15-026-XXVI-NRSITZ-00075	ParlaMint-AT_2019-05-15-026-XXVI-NRSITZ-00075_d7e851	Sitting Number 75, Legislative period XXVI, Wednesday, 15. May 2019	2019-05-15	Lower house	Legislative period XXVI	-	-	Sitting 75	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
