Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-02-27-026-XXVI-NRSITZ-00065	ParlaMint-AT_2019-02-27-026-XXVI-NRSITZ-00065_d7e338	Sitting Number 65, Legislative period XXVI, Wednesday, 27. February 2019	2019-02-27	Lower house	Legislative period XXVI	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-02-27-026-XXVI-NRSITZ-00065	ParlaMint-AT_2019-02-27-026-XXVI-NRSITZ-00065_d7e387	Sitting Number 65, Legislative period XXVI, Wednesday, 27. February 2019	2019-02-27	Lower house	Legislative period XXVI	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-02-27-026-XXVI-NRSITZ-00065	ParlaMint-AT_2019-02-27-026-XXVI-NRSITZ-00065_d7e439	Sitting Number 65, Legislative period XXVI, Wednesday, 27. February 2019	2019-02-27	Lower house	Legislative period XXVI	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
