Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-01-30-026-XXVI-NRSITZ-00062	ParlaMint-AT_2019-01-30-026-XXVI-NRSITZ-00062_d7e334	Sitting Number 62, Legislative period XXVI, Wednesday, 30. January 2019	2019-01-30	Lower house	Legislative period XXVI	-	-	Sitting 62	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-01-30-026-XXVI-NRSITZ-00062	ParlaMint-AT_2019-01-30-026-XXVI-NRSITZ-00062_d7e384	Sitting Number 62, Legislative period XXVI, Wednesday, 30. January 2019	2019-01-30	Lower house	Legislative period XXVI	-	-	Sitting 62	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-01-30-026-XXVI-NRSITZ-00062	ParlaMint-AT_2019-01-30-026-XXVI-NRSITZ-00062_d7e436	Sitting Number 62, Legislative period XXVI, Wednesday, 30. January 2019	2019-01-30	Lower house	Legislative period XXVI	-	-	Sitting 62	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
