Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT-en_2015-10-26-0101	ParlaMint-ES-CT_2015-10-26-0101.1.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2015-10-26 0101.ana	2015-10-26	Unicameralism	XI Legislatura	-	1	1	-	Reference	English	Regular	notMP	notMinister	Independent	Independent	-	-	BayonaAntoni	Bayona Rocamora, Antoni	M	1954	
ParlaMint-ES-CT-en_2015-10-26-0101	ParlaMint-ES-CT_2015-10-26-0101.2.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2015-10-26 0101.ana	2015-10-26	Unicameralism	XI Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent	Opposition	Left to far-left	DeJòdarJulià	de Jòdar i Muñoz, Julià	M	1942	
ParlaMint-ES-CT-en_2015-10-26-0101	ParlaMint-ES-CT_2015-10-26-0101.3.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2015-10-26 0101.ana	2015-10-26	Unicameralism	XI Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-CSP	Grup Parlamentari Catalunya sí que es Pot	Opposition	Left	GinerJoan	Giner Miguelez, Joan	M	1989	
ParlaMint-ES-CT-en_2015-10-26-0101	ParlaMint-ES-CT_2015-10-26-0101.4.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2015-10-26 0101.ana	2015-10-26	Unicameralism	XI Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent	Opposition	Left to far-left	DeJòdarJulià	de Jòdar i Muñoz, Julià	M	1942	
ParlaMint-ES-CT-en_2015-10-26-0101	ParlaMint-ES-CT_2015-10-26-0101.5.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2015-10-26 0101.ana	2015-10-26	Unicameralism	XI Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-CSP	Grup Parlamentari Catalunya sí que es Pot	Opposition	Left	GinerJoan	Giner Miguelez, Joan	M	1989	
ParlaMint-ES-CT-en_2015-10-26-0101	ParlaMint-ES-CT_2015-10-26-0101.6.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2015-10-26 0101.ana	2015-10-26	Unicameralism	XI Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent	Opposition	Left to far-left	DeJòdarJulià	de Jòdar i Muñoz, Julià	M	1942	
ParlaMint-ES-CT-en_2015-10-26-0101	ParlaMint-ES-CT_2015-10-26-0101.7.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2015-10-26 0101.ana	2015-10-26	Unicameralism	XI Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-JxSi	Grup Parlamentari de Junts pel Sí	-	Big tent	TurrullJordi	Turull Negre, Jordi	M	1966	
ParlaMint-ES-CT-en_2015-10-26-0101	ParlaMint-ES-CT_2015-10-26-0101.8.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2015-10-26 0101.ana	2015-10-26	Unicameralism	XI Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent	Opposition	Left to far-left	DeJòdarJulià	de Jòdar i Muñoz, Julià	M	1942	
ParlaMint-ES-CT-en_2015-10-26-0101	ParlaMint-ES-CT_2015-10-26-0101.9.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2015-10-26 0101.ana	2015-10-26	Unicameralism	XI Legislatura	-	1	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
