Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2014-12-29-0	ParlaMint-BA_2014-12-29-0.u4636	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 02	2014-12-29	Unicameralism	7. mandat	-	Sjednica 02	2015-03-05	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2014-12-29-0	ParlaMint-BA_2014-12-29-0.u4639	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 02	2014-12-29	Unicameralism	7. mandat	-	Sjednica 02	2015-03-05	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	SarajlićAsim	Sarajlić, Asim	M	1975	
ParlaMint-BA-en_2014-12-29-0	ParlaMint-BA_2014-12-29-0.u4640	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 02	2014-12-29	Unicameralism	7. mandat	-	Sjednica 02	2015-03-05	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2014-12-29-0	ParlaMint-BA_2014-12-29-0.u4641	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 02	2014-12-29	Unicameralism	7. mandat	-	Sjednica 02	2015-03-05	-	Reference	English	Regular	MP	notMinister	BPS	Bosanskohercegovačka patriotska stranka	Opposition	Centre-right	BackovićZaim	Backović, Zaim	M	1954	
ParlaMint-BA-en_2014-12-29-0	ParlaMint-BA_2014-12-29-0.u4642	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 02	2014-12-29	Unicameralism	7. mandat	-	Sjednica 02	2015-03-05	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
