Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Opposition	Centre-left	HabtamudeHoop	de Hoop, Habtamu	M	1998	
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Guest	notMP	Minister	D66	Democraten 66	Coalition	Centre	RobertDijkgraaf	Dijkgraaf, Robbert	M	1960	
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Opposition	Centre-left	HabtamudeHoop	de Hoop, Habtamu	M	1998	
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Guest	notMP	Minister	D66	Democraten 66	Coalition	Centre	RobertDijkgraaf	Dijkgraaf, Robbert	M	1960	
ParlaMint-NL-en_2022-04-20-tweedekamer-7	ParlaMint-NL_2022-04-20-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 75, Session 7 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
