Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-02-17-tweedekamer-5	ParlaMint-NL_2022-02-17-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 5	Meeting 52	Sitting 2022-02-17	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-17-tweedekamer-5	ParlaMint-NL_2022-02-17-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 5	Meeting 52	Sitting 2022-02-17	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RoelienKamminga	Kamminga, Roelien	F	1978	
ParlaMint-NL-en_2022-02-17-tweedekamer-5	ParlaMint-NL_2022-02-17-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 5	Meeting 52	Sitting 2022-02-17	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	VickyMaeijer	Maeijer, Vicky	F	1986	
ParlaMint-NL-en_2022-02-17-tweedekamer-5	ParlaMint-NL_2022-02-17-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 5	Meeting 52	Sitting 2022-02-17	-	COVID	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2022-02-17-tweedekamer-5	ParlaMint-NL_2022-02-17-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 5	Meeting 52	Sitting 2022-02-17	-	COVID	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2022-02-17-tweedekamer-5	ParlaMint-NL_2022-02-17-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 5	Meeting 52	Sitting 2022-02-17	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-17-tweedekamer-5	ParlaMint-NL_2022-02-17-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 5	Meeting 52	Sitting 2022-02-17	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2022-02-17-tweedekamer-5	ParlaMint-NL_2022-02-17-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 5	Meeting 52	Sitting 2022-02-17	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-17-tweedekamer-5	ParlaMint-NL_2022-02-17-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 5	Meeting 52	Sitting 2022-02-17	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
