Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RubenBrekelmans	Brekelmans, Ruben	M	1986	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u12	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u13	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u14	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-06-15-tweedekamer-7	ParlaMint-NL_2022-06-15-tweedekamer-7.u15	Report of the meeting of the Dutch Lower House, Meeting 92, Session 7 (2022-06-15)	2022-06-15	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 92	Sitting 2022-06-15	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RubenBrekelmans	Brekelmans, Ruben	M	1986	
