Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MariëllePaul	Paul, Mariëlle	F	1966	
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MariëllePaul	Paul, Mariëlle	F	1966	
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Opposition	Centre-left	HabtamudeHoop	de Hoop, Habtamu	M	1998	
ParlaMint-NL-en_2022-02-17-tweedekamer-3	ParlaMint-NL_2022-02-17-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2022-02-17)	2022-02-17	Lower house	Meeting of the 30th Tweede Kamer	Session 3	Meeting 52	Sitting 2022-02-17	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
