Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u1	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u2	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FahidMinhas	Minhas, Fahid	M	1988	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u3	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FahidMinhas	Minhas, Fahid	M	1988	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u4	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FahidMinhas	Minhas, Fahid	M	1988	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u5	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u6	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u7	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u8	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u9	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LauraBromet	Bromet, Laura	F	1970	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u10	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u11	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
