Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u1	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u2	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	TjeerddeGroot	de Groot, Tjeerd	M	1968	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u3	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u4	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u5	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u6	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ChristianneanderWalZeggelink	van der Wal-Zeggelink, Christianne	F	1973	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u7	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u8	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ChristianneanderWalZeggelink	van der Wal-Zeggelink, Christianne	F	1973	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u9	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u10	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ChristianneanderWalZeggelink	van der Wal-Zeggelink, Christianne	F	1973	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u11	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u12	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ChristianneanderWalZeggelink	van der Wal-Zeggelink, Christianne	F	1973	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u13	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u14	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ChristianneanderWalZeggelink	van der Wal-Zeggelink, Christianne	F	1973	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u15	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u16	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u17	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkHarbers	Harbers, Mark	M	1969	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u18	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u19	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u20	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-15-tweedekamer-34	ParlaMint-NL_2022-03-15-tweedekamer-34.u21	Report of the meeting of the Dutch Lower House, Meeting 60, Session 34 (2022-03-15)	2022-03-15	Lower house	Meeting of the 30th Tweede Kamer	Session 34	Meeting 60	Sitting 2022-03-15	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
