Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u1	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u2	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HattevanderWoude	van der Woude, Hatte	F	1969	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u3	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HattevanderWoude	van der Woude, Hatte	F	1969	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u4	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u5	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u6	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HattevanderWoude	van der Woude, Hatte	F	1969	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u7	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u8	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u9	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u10	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Guest	notMP	Minister	D66	Democraten 66	Coalition	Centre	RobertDijkgraaf	Dijkgraaf, Robbert	M	1960	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u11	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u12	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u13	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Guest	notMP	Minister	D66	Democraten 66	Coalition	Centre	RobertDijkgraaf	Dijkgraaf, Robbert	M	1960	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u14	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u15	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u16	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Guest	notMP	Minister	D66	Democraten 66	Coalition	Centre	RobertDijkgraaf	Dijkgraaf, Robbert	M	1960	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u17	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-14-tweedekamer-11	ParlaMint-NL_2022-04-14-tweedekamer-11.u18	Report of the meeting of the Dutch Lower House, Meeting 73, Session 11 (2022-04-14)	2022-04-14	Lower house	Meeting of the 30th Tweede Kamer	Session 11	Meeting 73	Sitting 2022-04-14	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
