Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u1	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u2	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u3	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u4	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u5	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JoostSneller	Sneller, Joost	M	1982	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u6	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u7	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DilanYeşilgöz-Zegerius	Yeşilgöz-Zegerius, Dilan	F	1977	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u8	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u9	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u10	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DilanYeşilgöz-Zegerius	Yeşilgöz-Zegerius, Dilan	F	1977	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u11	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u12	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u13	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DilanYeşilgöz-Zegerius	Yeşilgöz-Zegerius, Dilan	F	1977	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u14	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-07-06-tweedekamer-17	ParlaMint-NL_2022-07-06-tweedekamer-17.u15	Report of the meeting of the Dutch Lower House, Meeting 101, Session 17 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 17	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
